id,season,year,month,hour,weekday,holiday,working_day,weather_situation,temperature,feeling_temperature,humidity,windspeed,casual_users,registered_users,total_users,casual_users_fraction,registered_users_fraction,weekday_normalized,hour_normalized,weather_situation_normalized
21,1,0,1,20,6,False,False,2,0.4,0.4091,0.87,0.2537,11,25,36,0.3056,0.6944,1.0,0.8696,0.3333
22,1,0,1,21,6,False,False,2,0.4,0.4091,0.87,0.194,3,31,34,0.0882,0.9118,1.0,0.913,0.3333
23,1,0,1,22,6,False,False,2,0.4,0.4091,0.94,0.2239,11,17,28,0.3929,0.6071,1.0,0.9565,0.3333
24,1,0,1,23,6,False,False,2,0.46,0.4545,0.88,0.2985,15,24,39,0.3846,0.6154,1.0,1.0,0.3333
25,1,0,1,0,0,False,False,2,0.46,0.4545,0.88,0.2985,4,13,17,0.2353,0.7647,0.0,0.0,0.3333
26,1,0,1,1,0,False,False,2,0.44,0.4394,0.94,0.2537,1,16,17,0.0588,0.9412,0.0,0.0435,0.3333
27,1,0,1,2,0,False,False,2,0.42,0.4242,1.0,0.2836,1,8,9,0.1111,0.8889,0.0,0.087,0.3333
28,1,0,1,3,0,False,False,2,0.46,0.4545,0.94,0.194,2,4,6,0.3333,0.6667,0.0,0.1304,0.3333
29,1,0,1,4,0,False,False,2,0.46,0.4545,0.94,0.194,2,1,3,0.6667,0.3333,0.0,0.1739,0.3333
30,1,0,1,6,0,False,False,3,0.42,0.4242,0.77,0.2985,0,2,2,0.0,1.0,0.0,0.2609,0.6667
31,1,0,1,7,0,False,False,2,0.4,0.4091,0.76,0.194,0,1,1,0.0,1.0,0.0,0.3043,0.3333
32,1,0,1,8,0,False,False,3,0.4,0.4091,0.71,0.2239,0,8,8,0.0,1.0,0.0,0.3478,0.6667
33,1,0,1,9,0,False,False,2,0.38,0.3939,0.76,0.2239,1,19,20,0.05,0.95,0.0,0.3913,0.3333
34,1,0,1,10,0,False,False,2,0.36,0.3485,0.81,0.2239,7,46,53,0.1321,0.8679,0.0,0.4348,0.3333
35,1,0,1,11,0,False,False,2,0.36,0.3333,0.71,0.2537,16,54,70,0.2286,0.7714,0.0,0.4783,0.3333
36,1,0,1,12,0,False,False,2,0.36,0.3333,0.66,0.2985,20,73,93,0.2151,0.7849,0.0,0.5217,0.3333
37,1,0,1,13,0,False,False,2,0.36,0.3485,0.66,0.1343,11,64,75,0.1467,0.8533,0.0,0.5652,0.3333
38,1,0,1,14,0,False,False,3,0.36,0.3485,0.76,0.194,4,55,59,0.0678,0.9322,0.0,0.6087,0.6667
39,1,0,1,15,0,False,False,3,0.34,0.3333,0.81,0.1642,19,55,74,0.2568,0.7432,0.0,0.6522,0.6667
40,1,0,1,16,0,False,False,3,0.34,0.3333,0.71,0.1642,9,67,76,0.1184,0.8816,0.0,0.6957,0.6667
41,1,0,1,17,0,False,False,1,0.34,0.3333,0.57,0.194,7,58,65,0.1077,0.8923,0.0,0.7391,0.0
42,1,0,1,18,0,False,False,2,0.36,0.3333,0.46,0.3284,10,43,53,0.1887,0.8113,0.0,0.7826,0.3333
43,1,0,1,19,0,False,False,1,0.32,0.2879,0.42,0.4478,1,29,30,0.0333,0.9667,0.0,0.8261,0.0
44,1,0,1,20,0,False,False,1,0.3,0.2727,0.39,0.3582,5,17,22,0.2273,0.7727,0.0,0.8696,0.0
45,1,0,1,21,0,False,False,1,0.26,0.2273,0.44,0.3284,11,20,31,0.3548,0.6452,0.0,0.913,0.0
46,1,0,1,22,0,False,False,1,0.24,0.2121,0.44,0.2985,0,9,9,0.0,1.0,0.0,0.9565,0.0
47,1,0,1,23,0,False,False,1,0.22,0.2273,0.47,0.1642,0,8,8,0.0,1.0,0.0,1.0,0.0
48,1,0,1,0,1,False,True,1,0.22,0.197,0.44,0.3582,0,5,5,0.0,1.0,0.1667,0.0,0.0
49,1,0,1,1,1,False,True,1,0.2,0.1667,0.44,0.4179,0,2,2,0.0,1.0,0.1667,0.0435,0.0
50,1,0,1,4,1,False,True,1,0.16,0.1364,0.47,0.3881,0,1,1,0.0,1.0,0.1667,0.1739,0.0
51,1,0,1,5,1,False,True,1,0.16,0.1364,0.47,0.2836,0,3,3,0.0,1.0,0.1667,0.2174,0.0
52,1,0,1,6,1,False,True,1,0.14,0.1061,0.5,0.3881,0,30,30,0.0,1.0,0.1667,0.2609,0.0
53,1,0,1,7,1,False,True,1,0.14,0.1364,0.5,0.194,1,63,64,0.0156,0.9844,0.1667,0.3043,0.0
54,1,0,1,8,1,False,True,1,0.14,0.1212,0.5,0.2836,1,153,154,0.0065,0.9935,0.1667,0.3478,0.0
55,1,0,1,9,1,False,True,1,0.16,0.1364,0.43,0.3881,7,81,88,0.0795,0.9205,0.1667,0.3913,0.0
56,1,0,1,10,1,False,True,1,0.18,0.1667,0.43,0.2537,11,33,44,0.25,0.75,0.1667,0.4348,0.0
57,1,0,1,11,1,False,True,1,0.2,0.1818,0.4,0.3284,10,41,51,0.1961,0.8039,0.1667,0.4783,0.0
58,1,0,1,12,1,False,True,1,0.22,0.2121,0.35,0.2985,13,48,61,0.2131,0.7869,0.1667,0.5217,0.0
59,1,0,1,13,1,False,True,1,0.24,0.2121,0.35,0.2836,8,53,61,0.1311,0.8689,0.1667,0.5652,0.0
60,1,0,1,14,1,False,True,1,0.26,0.2424,0.3,0.2836,11,66,77,0.1429,0.8571,0.1667,0.6087,0.0
61,1,0,1,15,1,False,True,1,0.26,0.2424,0.3,0.2537,14,58,72,0.1944,0.8056,0.1667,0.6522,0.0
62,1,0,1,16,1,False,True,1,0.26,0.2424,0.3,0.2537,9,67,76,0.1184,0.8816,0.1667,0.6957,0.0
63,1,0,1,17,1,False,True,1,0.24,0.2273,0.3,0.2239,11,146,157,0.0701,0.9299,0.1667,0.7391,0.0
64,1,0,1,18,1,False,True,1,0.24,0.2576,0.32,0.1045,9,148,157,0.0573,0.9427,0.1667,0.7826,0.0
65,1,0,1,19,1,False,True,1,0.2,0.2576,0.47,0.0,8,102,110,0.0727,0.9273,0.1667,0.8261,0.0
66,1,0,1,20,1,False,True,1,0.2,0.2273,0.47,0.1045,3,49,52,0.0577,0.9423,0.1667,0.8696,0.0
67,1,0,1,21,1,False,True,1,0.18,0.197,0.64,0.1343,3,49,52,0.0577,0.9423,0.1667,0.913,0.0
68,1,0,1,22,1,False,True,1,0.14,0.1515,0.69,0.1343,0,20,20,0.0,1.0,0.1667,0.9565,0.0
69,1,0,1,23,1,False,True,1,0.18,0.2121,0.55,0.1045,1,11,12,0.0833,0.9167,0.1667,1.0,0.0
70,1,0,1,0,2,False,True,1,0.16,0.1818,0.55,0.1045,0,5,5,0.0,1.0,0.3333,0.0,0.0
71,1,0,1,1,2,False,True,1,0.16,0.1818,0.59,0.1045,0,2,2,0.0,1.0,0.3333,0.0435,0.0
72,1,0,1,2,2,False,True,1,0.14,0.1515,0.63,0.1343,0,1,1,0.0,1.0,0.3333,0.087,0.0
73,1,0,1,4,2,False,True,1,0.14,0.1818,0.63,0.0896,0,2,2,0.0,1.0,0.3333,0.1739,0.0
74,1,0,1,5,2,False,True,1,0.12,0.1515,0.68,0.1045,0,4,4,0.0,1.0,0.3333,0.2174,0.0
75,1,0,1,6,2,False,True,1,0.12,0.1515,0.74,0.1045,0,36,36,0.0,1.0,0.3333,0.2609,0.0
76,1,0,1,7,2,False,True,1,0.12,0.1515,0.74,0.1343,2,92,94,0.0213,0.9787,0.3333,0.3043,0.0
77,1,0,1,8,2,False,True,1,0.14,0.1515,0.69,0.1642,2,177,179,0.0112,0.9888,0.3333,0.3478,0.0
78,1,0,1,9,2,False,True,1,0.16,0.1515,0.64,0.2239,2,98,100,0.02,0.98,0.3333,0.3913,0.0
79,1,0,1,10,2,False,True,2,0.16,0.1364,0.69,0.3284,5,37,42,0.119,0.881,0.3333,0.4348,0.3333
80,1,0,1,11,2,False,True,1,0.22,0.2121,0.51,0.2985,7,50,57,0.1228,0.8772,0.3333,0.4783,0.0
81,1,0,1,12,2,False,True,1,0.22,0.2273,0.51,0.1642,12,66,78,0.1538,0.8462,0.3333,0.5217,0.0
82,1,0,1,13,2,False,True,1,0.24,0.2273,0.56,0.194,18,79,97,0.1856,0.8144,0.3333,0.5652,0.0
83,1,0,1,14,2,False,True,1,0.26,0.2576,0.52,0.2239,9,54,63,0.1429,0.8571,0.3333,0.6087,0.0
84,1,0,1,15,2,False,True,1,0.28,0.2727,0.52,0.2537,17,48,65,0.2615,0.7385,0.3333,0.6522,0.0
85,1,0,1,16,2,False,True,1,0.3,0.2879,0.49,0.2537,15,68,83,0.1807,0.8193,0.3333,0.6957,0.0
86,1,0,1,17,2,False,True,1,0.28,0.2727,0.48,0.2239,10,202,212,0.0472,0.9528,0.3333,0.7391,0.0
87,1,0,1,18,2,False,True,1,0.26,0.2576,0.48,0.194,3,179,182,0.0165,0.9835,0.3333,0.7826,0.0
88,1,0,1,19,2,False,True,1,0.24,0.2576,0.48,0.1045,2,110,112,0.0179,0.9821,0.3333,0.8261,0.0
89,1,0,1,20,2,False,True,1,0.24,0.2576,0.48,0.1045,1,53,54,0.0185,0.9815,0.3333,0.8696,0.0
90,1,0,1,21,2,False,True,1,0.22,0.2727,0.64,0.0,0,48,48,0.0,1.0,0.3333,0.913,0.0
91,1,0,1,22,2,False,True,1,0.22,0.2576,0.64,0.0896,1,34,35,0.0286,0.9714,0.3333,0.9565,0.0
92,1,0,1,23,2,False,True,1,0.2,0.2273,0.69,0.0896,2,9,11,0.1818,0.8182,0.3333,1.0,0.0
93,1,0,1,0,3,False,True,1,0.2,0.2576,0.64,0.0,0,6,6,0.0,1.0,0.5,0.0,0.0
94,1,0,1,1,3,False,True,1,0.16,0.197,0.74,0.0896,0,6,6,0.0,1.0,0.5,0.0435,0.0
95,1,0,1,2,3,False,True,1,0.16,0.197,0.74,0.0896,0,2,2,0.0,1.0,0.5,0.087,0.0
96,1,0,1,4,3,False,True,1,0.24,0.2273,0.48,0.2239,0,2,2,0.0,1.0,0.5,0.1739,0.0
97,1,0,1,5,3,False,True,1,0.22,0.2273,0.47,0.1642,0,3,3,0.0,1.0,0.5,0.2174,0.0
98,1,0,1,6,3,False,True,1,0.2,0.197,0.47,0.2239,0,33,33,0.0,1.0,0.5,0.2609,0.0
99,1,0,1,7,3,False,True,1,0.18,0.1818,0.43,0.194,1,87,88,0.0114,0.9886,0.5,0.3043,0.0
100,1,0,1,8,3,False,True,1,0.2,0.1818,0.4,0.2985,3,192,195,0.0154,0.9846,0.5,0.3478,0.0
101,1,0,1,9,3,False,True,1,0.22,0.197,0.37,0.3284,6,109,115,0.0522,0.9478,0.5,0.3913,0.0
102,1,0,1,10,3,False,True,1,0.22,0.197,0.37,0.3284,4,53,57,0.0702,0.9298,0.5,0.4348,0.0
103,1,0,1,11,3,False,True,1,0.26,0.2273,0.33,0.3284,12,34,46,0.2609,0.7391,0.5,0.4783,0.0
104,1,0,1,12,3,False,True,1,0.26,0.2273,0.33,0.3284,5,74,79,0.0633,0.9367,0.5,0.5217,0.0
105,1,0,1,13,3,False,True,1,0.28,0.2576,0.3,0.2985,6,65,71,0.0845,0.9155,0.5,0.5652,0.0
106,1,0,1,14,3,False,True,1,0.3,0.2879,0.28,0.194,10,52,62,0.1613,0.8387,0.5,0.6087,0.0
107,1,0,1,15,3,False,True,1,0.3,0.2879,0.28,0.194,7,55,62,0.1129,0.8871,0.5,0.6522,0.0
108,1,0,1,16,3,False,True,1,0.3,0.3182,0.28,0.0896,4,85,89,0.0449,0.9551,0.5,0.6957,0.0
109,1,0,1,17,3,False,True,1,0.24,0.2273,0.38,0.194,4,186,190,0.0211,0.9789,0.5,0.7391,0.0
110,1,0,1,18,3,False,True,1,0.24,0.2424,0.38,0.1343,3,166,169,0.0178,0.9822,0.5,0.7826,0.0
111,1,0,1,19,3,False,True,1,0.24,0.2576,0.38,0.1045,5,127,132,0.0379,0.9621,0.5,0.8261,0.0
112,1,0,1,20,3,False,True,1,0.22,0.2273,0.47,0.1642,7,82,89,0.0787,0.9213,0.5,0.8696,0.0
113,1,0,1,21,3,False,True,1,0.2,0.197,0.51,0.194,3,40,43,0.0698,0.9302,0.5,0.913,0.0
114,1,0,1,22,3,False,True,1,0.18,0.197,0.55,0.1343,1,41,42,0.0238,0.9762,0.5,0.9565,0.0
115,1,0,1,23,3,False,True,1,0.2,0.2576,0.47,0.0,1,18,19,0.0526,0.9474,0.5,1.0,0.0
116,1,0,1,0,4,False,True,1,0.18,0.2424,0.55,0.0,0,11,11,0.0,1.0,0.6667,0.0,0.0
117,1,0,1,1,4,False,True,1,0.16,0.2273,0.64,0.0,0,4,4,0.0,1.0,0.6667,0.0435,0.0
118,1,0,1,2,4,False,True,1,0.16,0.2273,0.64,0.0,0,2,2,0.0,1.0,0.6667,0.087,0.0
119,1,0,1,4,4,False,True,2,0.16,0.197,0.64,0.0896,0,1,1,0.0,1.0,0.6667,0.1739,0.3333
120,1,0,1,5,4,False,True,2,0.14,0.1818,0.69,0.0896,0,4,4,0.0,1.0,0.6667,0.2174,0.3333
121,1,0,1,6,4,False,True,2,0.14,0.1667,0.63,0.1045,0,36,36,0.0,1.0,0.6667,0.2609,0.3333
122,1,0,1,7,4,False,True,2,0.16,0.2273,0.59,0.0,0,95,95,0.0,1.0,0.6667,0.3043,0.3333
123,1,0,1,8,4,False,True,1,0.16,0.2273,0.59,0.0,3,216,219,0.0137,0.9863,0.6667,0.3478,0.0
124,1,0,1,9,4,False,True,2,0.18,0.2424,0.51,0.0,6,116,122,0.0492,0.9508,0.6667,0.3913,0.3333
125,1,0,1,10,4,False,True,1,0.2,0.2576,0.47,0.0,3,42,45,0.0667,0.9333,0.6667,0.4348,0.0
126,1,0,1,11,4,False,True,1,0.22,0.2576,0.44,0.0896,2,57,59,0.0339,0.9661,0.6667,0.4783,0.0
127,1,0,1,12,4,False,True,1,0.26,0.2879,0.35,0.0,6,78,84,0.0714,0.9286,0.6667,0.5217,0.0
128,1,0,1,13,4,False,True,1,0.26,0.2727,0.35,0.1045,12,55,67,0.1791,0.8209,0.6667,0.5652,0.0
129,1,0,1,14,4,False,True,1,0.28,0.2727,0.36,0.1642,11,59,70,0.1571,0.8429,0.6667,0.6087,0.0
130,1,0,1,15,4,False,True,1,0.28,0.2727,0.36,0.0,8,54,62,0.129,0.871,0.6667,0.6522,0.0
131,1,0,1,16,4,False,True,1,0.26,0.2576,0.38,0.1642,12,74,86,0.1395,0.8605,0.6667,0.6957,0.0
132,1,0,1,17,4,False,True,1,0.22,0.2273,0.51,0.1642,9,163,172,0.0523,0.9477,0.6667,0.7391,0.0
133,1,0,1,18,4,False,True,1,0.22,0.2273,0.51,0.1343,5,158,163,0.0307,0.9693,0.6667,0.7826,0.0
134,1,0,1,19,4,False,True,1,0.22,0.2576,0.55,0.0896,3,109,112,0.0268,0.9732,0.6667,0.8261,0.0
135,1,0,1,20,4,False,True,1,0.2,0.2121,0.51,0.1642,3,66,69,0.0435,0.9565,0.6667,0.8696,0.0
136,1,0,1,21,4,False,True,2,0.22,0.2121,0.55,0.2239,0,48,48,0.0,1.0,0.6667,0.913,0.3333
137,1,0,1,22,4,False,True,2,0.22,0.2121,0.51,0.2836,1,51,52,0.0192,0.9808,0.6667,0.9565,0.3333
138,1,0,1,23,4,False,True,2,0.2,0.197,0.59,0.194,4,19,23,0.1739,0.8261,0.6667,1.0,0.3333
139,1,0,1,0,5,False,True,2,0.2,0.197,0.64,0.194,4,13,17,0.2353,0.7647,0.8333,0.0,0.3333
140,1,0,1,1,5,False,True,2,0.2,0.197,0.69,0.2239,2,5,7,0.2857,0.7143,0.8333,0.0435,0.3333
141,1,0,1,2,5,False,True,2,0.2,0.197,0.69,0.2239,0,1,1,0.0,1.0,0.8333,0.087,0.3333
142,1,0,1,4,5,False,True,2,0.2,0.2121,0.69,0.1343,0,1,1,0.0,1.0,0.8333,0.1739,0.3333
143,1,0,1,5,5,False,True,3,0.22,0.2727,0.55,0.0,0,5,5,0.0,1.0,0.8333,0.2174,0.6667
144,1,0,1,6,5,False,True,2,0.2,0.2576,0.69,0.0,8,26,34,0.2353,0.7647,0.8333,0.2609,0.3333
145,1,0,1,7,5,False,True,1,0.2,0.2121,0.69,0.1343,8,76,84,0.0952,0.9048,0.8333,0.3043,0.0
146,1,0,1,8,5,False,True,1,0.2,0.197,0.51,0.2537,20,190,210,0.0952,0.9048,0.8333,0.3478,0.0
147,1,0,1,9,5,False,True,1,0.2,0.1818,0.47,0.2985,9,125,134,0.0672,0.9328,0.8333,0.3913,0.0
148,1,0,1,10,5,False,True,1,0.22,0.197,0.37,0.3284,16,47,63,0.254,0.746,0.8333,0.4348,0.0
149,1,0,1,11,5,False,True,2,0.2,0.197,0.4,0.2239,19,48,67,0.2836,0.7164,0.8333,0.4783,0.3333
150,1,0,1,12,5,False,True,2,0.2,0.197,0.37,0.2537,9,50,59,0.1525,0.8475,0.8333,0.5217,0.3333
151,1,0,1,13,5,False,True,2,0.2,0.1818,0.37,0.2836,9,64,73,0.1233,0.8767,0.8333,0.5652,0.3333
152,1,0,1,14,5,False,True,2,0.2,0.197,0.4,0.2537,7,43,50,0.14,0.86,0.8333,0.6087,0.3333
153,1,0,1,15,5,False,True,2,0.2,0.2121,0.37,0.1642,9,63,72,0.125,0.875,0.8333,0.6522,0.3333
154,1,0,1,16,5,False,True,2,0.2,0.2121,0.37,0.1642,5,82,87,0.0575,0.9425,0.8333,0.6957,0.3333
155,1,0,1,17,5,False,True,2,0.2,0.2576,0.37,0.0,9,178,187,0.0481,0.9519,0.8333,0.7391,0.3333
156,1,0,1,18,5,False,True,1,0.2,0.2273,0.4,0.0896,7,116,123,0.0569,0.9431,0.8333,0.7826,0.0
157,1,0,1,19,5,False,True,1,0.16,0.197,0.55,0.0896,3,92,95,0.0316,0.9684,0.8333,0.8261,0.0
158,1,0,1,20,5,False,True,1,0.18,0.2121,0.47,0.1045,1,50,51,0.0196,0.9804,0.8333,0.8696,0.0
159,1,0,1,21,5,False,True,1,0.18,0.197,0.47,0.1343,0,39,39,0.0,1.0,0.8333,0.913,0.0
160,1,0,1,22,5,False,True,2,0.18,0.197,0.43,0.1642,2,34,36,0.0556,0.9444,0.8333,0.9565,0.3333
161,1,0,1,23,5,False,True,2,0.18,0.197,0.51,0.1642,1,14,15,0.0667,0.9333,0.8333,1.0,0.3333
162,1,0,1,0,6,False,False,2,0.18,0.197,0.51,0.1642,1,24,25,0.04,0.96,1.0,0.0,0.3333
163,1,0,1,1,6,False,False,2,0.18,0.2121,0.55,0.0896,1,15,16,0.0625,0.9375,1.0,0.0435,0.3333
164,1,0,1,2,6,False,False,2,0.18,0.2424,0.55,0.0,3,13,16,0.1875,0.8125,1.0,0.087,0.3333
165,1,0,1,3,6,False,False,3,0.18,0.197,0.55,0.1642,0,7,7,0.0,1.0,1.0,0.1304,0.6667
166,1,0,1,4,6,False,False,3,0.18,0.197,0.55,0.1642,0,1,1,0.0,1.0,1.0,0.1739,0.6667
167,1,0,1,5,6,False,False,2,0.16,0.1667,0.74,0.1642,0,5,5,0.0,1.0,1.0,0.2174,0.3333
168,1,0,1,6,6,False,False,2,0.16,0.1667,0.74,0.1642,0,2,2,0.0,1.0,1.0,0.2609,0.3333
169,1,0,1,7,6,False,False,2,0.16,0.1818,0.74,0.1045,1,8,9,0.1111,0.8889,1.0,0.3043,0.3333
170,1,0,1,8,6,False,False,3,0.16,0.1818,0.93,0.1045,0,15,15,0.0,1.0,1.0,0.3478,0.6667
171,1,0,1,9,6,False,False,3,0.16,0.1818,0.93,0.1045,0,20,20,0.0,1.0,1.0,0.3913,0.6667
172,1,0,1,10,6,False,False,2,0.18,0.197,0.8,0.1642,5,56,61,0.082,0.918,1.0,0.4348,0.3333
173,1,0,1,11,6,False,False,2,0.2,0.1818,0.69,0.3881,2,60,62,0.0323,0.9677,1.0,0.4783,0.3333
174,1,0,1,12,6,False,False,2,0.2,0.1818,0.59,0.3582,8,90,98,0.0816,0.9184,1.0,0.5217,0.3333
175,1,0,1,13,6,False,False,1,0.2,0.1818,0.44,0.3284,7,95,102,0.0686,0.9314,1.0,0.5652,0.0
176,1,0,1,14,6,False,False,1,0.2,0.1667,0.32,0.4925,12,83,95,0.1263,0.8737,1.0,0.6087,0.0
177,1,0,1,15,6,False,False,1,0.2,0.1667,0.32,0.4478,5,69,74,0.0676,0.9324,1.0,0.6522,0.0
178,1,0,1,16,6,False,False,1,0.18,0.1364,0.29,0.4478,8,68,76,0.1053,0.8947,1.0,0.6957,0.0
179,1,0,1,17,6,False,False,1,0.16,0.1212,0.37,0.5522,5,64,69,0.0725,0.9275,1.0,0.7391,0.0
180,1,0,1,18,6,False,False,1,0.14,0.1212,0.39,0.2985,3,52,55,0.0545,0.9455,1.0,0.7826,0.0
181,1,0,1,19,6,False,False,1,0.14,0.1212,0.36,0.2537,4,26,30,0.1333,0.8667,1.0,0.8261,0.0
182,1,0,1,20,6,False,False,1,0.12,0.1212,0.36,0.2537,0,28,28,0.0,1.0,1.0,0.8696,0.0
183,1,0,1,21,6,False,False,1,0.12,0.1061,0.39,0.3582,2,35,37,0.0541,0.9459,1.0,0.913,0.0
184,1,0,1,22,6,False,False,1,0.12,0.1061,0.36,0.3881,1,33,34,0.0294,0.9706,1.0,0.9565,0.0
185,1,0,1,23,6,False,False,1,0.1,0.0606,0.39,0.4478,0,22,22,0.0,1.0,1.0,1.0,0.0
186,1,0,1,0,0,False,False,1,0.1,0.0758,0.42,0.3881,1,24,25,0.04,0.96,0.0,0.0,0.0
187,1,0,1,1,0,False,False,1,0.1,0.0606,0.42,0.4627,0,12,12,0.0,1.0,0.0,0.0435,0.0
188,1,0,1,2,0,False,False,1,0.1,0.0606,0.46,0.4627,0,11,11,0.0,1.0,0.0,0.087,0.0
189,1,0,1,3,0,False,False,1,0.1,0.0758,0.46,0.4179,0,4,4,0.0,1.0,0.0,0.1304,0.0
190,1,0,1,4,0,False,False,1,0.08,0.0909,0.53,0.194,0,1,1,0.0,1.0,0.0,0.1739,0.0
191,1,0,1,5,0,False,False,1,0.08,0.0909,0.53,0.194,0,1,1,0.0,1.0,0.0,0.2174,0.0
192,1,0,1,6,0,False,False,1,0.1,0.0909,0.49,0.2836,0,1,1,0.0,1.0,0.0,0.2609,0.0
193,1,0,1,7,0,False,False,1,0.08,0.0909,0.53,0.194,1,5,6,0.1667,0.8333,0.0,0.3043,0.0
194,1,0,1,8,0,False,False,1,0.1,0.0909,0.49,0.2836,0,10,10,0.0,1.0,0.0,0.3478,0.0
195,1,0,1,9,0,False,False,1,0.12,0.0758,0.46,0.5224,0,19,19,0.0,1.0,0.0,0.3913,0.0
196,1,0,1,10,0,False,False,1,0.14,0.1061,0.43,0.3881,0,49,49,0.0,1.0,0.0,0.4348,0.0
197,1,0,1,11,0,False,False,1,0.16,0.1212,0.4,0.5224,2,47,49,0.0408,0.9592,0.0,0.4783,0.0
198,1,0,1,12,0,False,False,1,0.18,0.1364,0.37,0.4478,4,79,83,0.0482,0.9518,0.0,0.5217,0.0
199,1,0,1,13,0,False,False,1,0.2,0.1667,0.34,0.4478,6,69,75,0.08,0.92,0.0,0.5652,0.0
200,1,0,1,14,0,False,False,1,0.22,0.1818,0.32,0.4627,8,64,72,0.1111,0.8889,0.0,0.6087,0.0
201,1,0,1,15,0,False,False,1,0.22,0.197,0.35,0.3582,5,77,82,0.061,0.939,0.0,0.6522,0.0
202,1,0,1,16,0,False,False,1,0.2,0.1667,0.34,0.4478,13,79,92,0.1413,0.8587,0.0,0.6957,0.0
203,1,0,1,17,0,False,False,1,0.18,0.1515,0.37,0.3881,3,59,62,0.0484,0.9516,0.0,0.7391,0.0
204,1,0,1,18,0,False,False,1,0.16,0.1364,0.4,0.3284,4,44,48,0.0833,0.9167,0.0,0.7826,0.0
205,1,0,1,19,0,False,False,1,0.16,0.1364,0.43,0.3284,1,40,41,0.0244,0.9756,0.0,0.8261,0.0
206,1,0,1,20,0,False,False,1,0.14,0.1212,0.46,0.2537,0,38,38,0.0,1.0,0.0,0.8696,0.0
207,1,0,1,21,0,False,False,1,0.14,0.1061,0.46,0.4179,1,19,20,0.05,0.95,0.0,0.913,0.0
208,1,0,1,22,0,False,False,1,0.14,0.1212,0.46,0.2985,5,10,15,0.3333,0.6667,0.0,0.9565,0.0
209,1,0,1,23,0,False,False,1,0.12,0.1364,0.5,0.194,0,6,6,0.0,1.0,0.0,1.0,0.0
210,1,0,1,0,1,False,True,1,0.12,0.1212,0.5,0.2836,2,3,5,0.4,0.6,0.1667,0.0,0.0
211,1,0,1,1,1,False,True,1,0.12,0.1212,0.5,0.2836,1,0,1,1.0,0.0,0.1667,0.0435,0.0
212,1,0,1,2,1,False,True,1,0.12,0.1212,0.5,0.2239,0,3,3,0.0,1.0,0.1667,0.087,0.0
213,1,0,1,3,1,False,True,1,0.12,0.1212,0.5,0.2239,0,1,1,0.0,1.0,0.1667,0.1304,0.0
